317.740, 129.490, 0.000,  0.000 False
317.740, 129.490, 0.000,  0.016 False
317.740, 129.490, 0.000,  0.049 False
317.740, 129.490, 0.000,  0.082 False
317.741, 129.490, -0.038,  0.115 False
317.739, 129.490, 0.029,  0.148 False
317.738, 129.490, 0.037,  0.181 False
317.737, 129.490, 0.032,  0.214 False
317.736, 129.490, 0.028,  0.247 False
317.735, 129.490, 0.025,  0.280 False
317.734, 129.490, 0.022,  0.313 False
317.733, 129.490, 0.021,  0.346 False
317.732, 129.490, 0.020,  0.379 False
317.732, 129.490, 0.020,  0.412 False
317.731, 129.490, 0.020,  0.445 False
317.730, 129.490, 0.021,  0.478 False
317.729, 129.490, 0.022,  0.511 False
317.728, 129.490, 0.024,  0.544 False
317.727, 129.490, 0.028,  0.577 False
317.726, 129.490, 0.032,  0.610 False
317.725, 129.490, 0.039,  0.643 False
317.722, 129.490, 0.101,  0.676 False
317.716, 129.490, 0.164,  0.709 False
317.710, 129.490, 0.205,  0.742 False
317.700, 129.490, 0.301,  0.775 False
317.688, 129.490, 0.369,  0.808 False
317.675, 129.490, 0.367,  0.841 False
317.663, 129.490, 0.344,  0.874 False
317.649, 129.490, 0.416,  0.907 False
317.635, 129.490, 0.446,  0.940 False
317.619, 129.490, 0.486,  0.973 False
317.601, 129.490, 0.552,  1.006 False
317.581, 129.490, 0.587,  1.039 False
317.561, 129.490, 0.605,  1.072 False
317.541, 129.490, 0.626,  1.105 False
317.520, 129.490, 0.650,  1.138 False
317.497, 129.490, 0.688,  1.171 False
317.472, 129.490, 0.772,  1.204 False
317.444, 129.490, 0.842,  1.237 False
317.415, 129.490, 0.868,  1.270 False
317.386, 129.490, 0.893,  1.303 False
317.355, 129.490, 0.924,  1.336 False
317.323, 129.490, 0.962,  1.369 False
317.290, 129.490, 1.004,  1.402 False
317.255, 129.490, 1.058,  1.435 False
317.218, 129.490, 1.113,  1.468 False
317.179, 129.490, 1.182,  1.501 False
317.139, 129.490, 1.223,  1.534 False
317.097, 129.490, 1.265,  1.567 False
317.054, 129.490, 1.308,  1.600 False
317.009, 129.490, 1.355,  1.633 False
316.963, 129.490, 1.401,  1.666 False
316.915, 129.490, 1.447,  1.699 False
316.865, 129.490, 1.492,  1.732 False
316.815, 129.490, 1.538,  1.765 False
316.762, 129.490, 1.583,  1.798 False
316.708, 129.490, 1.627,  1.831 False
316.653, 129.490, 1.671,  1.864 False
316.596, 129.490, 1.714,  1.897 False
316.538, 129.490, 1.755,  1.930 False
316.479, 129.490, 1.797,  1.963 False
316.418, 129.490, 1.838,  1.996 False
316.355, 129.490, 1.879,  2.029 False
316.292, 129.491, 1.917,  2.062 False
316.227, 129.491, 1.957,  2.095 False
316.161, 129.491, 1.995,  2.128 False
316.093, 129.491, 2.034,  2.161 False
316.025, 129.491, 2.072,  2.194 False
315.955, 129.491, 2.110,  2.227 False
315.883, 129.491, 2.148,  2.260 False
315.811, 129.491, 2.186,  2.293 False
315.737, 129.491, 2.223,  2.326 False
315.662, 129.491, 2.259,  2.359 False
315.586, 129.491, 2.295,  2.392 False
315.509, 129.491, 2.329,  2.425 False
315.430, 129.491, 2.363,  2.458 False
315.351, 129.491, 2.398,  2.491 False
315.270, 129.491, 2.432,  2.524 False
315.188, 129.491, 2.466,  2.557 False
315.105, 129.491, 2.499,  2.590 False
315.021, 129.491, 2.533,  2.623 False
314.936, 129.491, 2.566,  2.656 False
314.849, 129.491, 2.599,  2.689 False
314.762, 129.491, 2.632,  2.722 False
314.673, 129.491, 2.666,  2.755 False
314.584, 129.491, 2.699,  2.788 False
314.493, 129.492, 2.732,  2.821 False
314.401, 129.492, 2.765,  2.854 False
314.308, 129.492, 2.798,  2.887 False
314.214, 129.492, 2.831,  2.920 False
314.119, 129.492, 2.864,  2.953 False
314.022, 129.492, 2.897,  2.986 False
313.925, 129.492, 2.930,  3.019 False
313.827, 129.492, 2.964,  3.052 False
313.727, 129.492, 2.997,  3.085 False
313.626, 129.492, 3.029,  3.118 False
313.524, 129.492, 3.062,  3.151 False
313.422, 129.492, 3.095,  3.184 False
313.318, 129.492, 3.127,  3.217 False
313.213, 129.492, 3.160,  3.250 False
313.106, 129.492, 3.193,  3.283 False
312.999, 129.492, 3.226,  3.316 False
312.891, 129.492, 3.258,  3.349 False
312.781, 129.492, 3.291,  3.382 False
312.671, 129.492, 3.325,  3.415 False
312.559, 129.492, 3.358,  3.448 False
312.446, 129.492, 3.391,  3.481 False
312.332, 129.492, 3.424,  3.514 False
312.218, 129.492, 3.457,  3.547 False
312.101, 129.492, 3.490,  3.580 False
311.984, 129.492, 3.522,  3.613 False
